Account Number,Account Name,Type,Detail Type,Description
10000,IC Clearing,Bank,Checking,Cross-class JE balancer - MUST net to zero per class
10100,Operating Cash,Bank,Checking,Parent - one sub per corporate entity with a real account
10101,Operating Cash:STVE,Bank,Checking,STVE operating (UCCU / MACU manual entry)
10102,Operating Cash:STDG,Bank,Checking,"STDG (MACU + Granite = manual entry, no bank feed)"
10103,Operating Cash:HLE,Bank,Checking,"HLE - Hunters Landing East (internally funded, held for sale)"
10500,Credit Card Clearing,Credit Card,Credit Card,Card activity - class every line
12200,Dev Fee Receivable,Other Current Assets,Other Current Assets,5% owed by projects - class = 15 STV CM (universal payee per 7-2-26 OAEAs)
12500,Due From Projects,Other Current Assets,Other Current Assets,"Parent - IC asset leg, one sub per project entity"
12501,Due From Projects:12SB,Other Current Assets,Other Current Assets,Mirror of partnership-file Due To Corp:12SB
12502,Due From Projects:HLN,Other Current Assets,Other Current Assets,Mirror of Due To Corp:HLN
12503,Due From Projects:Union,Other Current Assets,Other Current Assets,Mirror of Due To Corp:Union
12504,Due From Projects:Madison,Other Current Assets,Other Current Assets,Mirror of Due To Corp:Madison
12505,Due From Projects:Quincy,Other Current Assets,Other Current Assets,Mirror of Due To Corp:Quincy
12506,Due From Projects:Vic,Other Current Assets,Other Current Assets,Mirror of Due To Corp:Vic
12507,Due From Projects:Summa Elite,Other Current Assets,Other Current Assets,Mirror of Due To Corp:Summa Elite
12508,Due From Projects:Ventura,Other Current Assets,Other Current Assets,Mirror of Due To Corp:Ventura
12509,Due From Projects:Freeman,Other Current Assets,Other Current Assets,Mirror of Due To Corp:Freeman
12510,Due From Projects:Carlo,Other Current Assets,Other Current Assets,Mirror of Due To Corp:Carlo
12511,Due From Projects:Ledges,Other Current Assets,Other Current Assets,Mirror of Due To Corp:Ledges
12512,Due From Projects:RM Texas,Other Current Assets,Other Current Assets,Mirror of Due To Corp:RM Texas
12513,Due From Projects:Elephant Rock,Other Current Assets,Other Current Assets,Mirror of Due To Corp:Elephant Rock
12514,Due From Projects:EJH,Other Current Assets,Other Current Assets,Mirror of Due To Corp:EJH
12515,Due From Projects:Dominus,Other Current Assets,Other Current Assets,Mirror of Due To Corp:Dominus
12516,Due From Projects:Rock Creek Acq,Other Current Assets,Other Current Assets,Mirror of Due To Corp:Rock Creek Acq
12517,Due From Projects:Camden,Other Current Assets,Other Current Assets,Mirror of Due To Corp:Camden
12518,Due From Projects:Ensign,Other Current Assets,Other Current Assets,Mirror of Due To Corp:Ensign
13900,Land Held for Sale:HLE,Other Current Assets,Other Current Assets,HLE entitlement-stage land - carried at cost until sale
14000,Investment in Projects,Other Current Assets,Other Current Assets,Parent - one sub per HOLDING x PROJECT pair (allocation map)
14001,Investment in Projects:12SB-Lykos,Other Current Assets,Other Current Assets,Lykos stake in 12SB - class 04 Lykos
14011,Investment in Projects:12SB-Aubrey,Other Current Assets,Other Current Assets,Aubrey stake in 12SB
14002,Investment in Projects:HLN-Providence,Other Current Assets,Other Current Assets,Providence stake in HLN - class 05 Providence
14003,Investment in Projects:Union-Lazarus,Other Current Assets,Other Current Assets,Lazarus stake in Union - class 06 Lazarus
14013,Investment in Projects:Union-STV,Other Current Assets,Other Current Assets,STV LLC stake in Union - class 03 STV LLC
14004,Investment in Projects:Madison-Lykos,Other Current Assets,Other Current Assets,Lykos stake in Madison
14014,Investment in Projects:Madison-AW1,Other Current Assets,Other Current Assets,AW1 stake in Madison - class 07 AW1
14005,Investment in Projects:Quincy-STDG,Other Current Assets,Other Current Assets,STDG stake in Quincy - class 02 STDG
14015,Investment in Projects:Quincy-Lazarus,Other Current Assets,Other Current Assets,Lazarus stake in Quincy
