#,Area,What's Broken in the Current System (specifics),How It Costs the Company Today,What Our New Process Does Instead,How It Helps / Saves or Recovers Money
1,Books are behind,"QuickBooks is only reconciled through about January–February 2026. The reconciliation workbook (2026_Bank Reconciliation.xlsx, 43 tabs / ~35 bank accounts) shows March 2026 onward entered on the bank side but the QuickBooks column reads 0 — meaning real activity was never posted to the books.","Partners and the bank are reading numbers that are ~4 months stale. Distributions, loan draws, and decisions get made on bad data, and year-end becomes a fire drill.",We pull bank activity automatically and post a structured monthly catch-up, then keep it current going forward.,Always-current financials you can trust for decisions and lender requests; no year-end scramble; lower CPA bill at tax time.
2,Manual data entry,"Specific accounts are flagged ""NO QB FILE IMPORT"" and are keyed by hand — the STVE and STDG accounts at MACU (Mountain America) and Granite Credit Union. There is no automated bank feed for these.","Hours of manual typing each month and a high chance of transcription errors that later have to be hunted down. STDG-Granite alone is sitting ~$730K unreconciled.",We set up an automated bank-to-QuickBooks data bridge (QODBC / QB Web Connector) so transactions flow in.,Saves bookkeeping hours every month and removes a whole category of typing errors.
3,Unreconciled fees never booked,"Real fees cleared the bank but were never recorded in QuickBooks, across four entities — total $3,840.31: Freeman Ranch $535.81 ($95 SPI Agent Solutions + $440.81 Kenison Dudley Crawford, checking #78480); Ventura Landing $1,522.50 ($1,350 Ricks & Co CPA + $42.50 Leggett Clemons Ck#262 + $130 Capitol Services, acct #17470); RM Texas $982 ($1,000 Ricks CPA minus an $18 Capital Title recording refund, #66510); Rock Creek $800 (Ricks CPA, #82340). Most are 2025 K-1 filing fees.",Expenses and profit per project are understated by the amounts above; the books don't match the bank.,We reconcile bank vs. books every period and write up exact ready-to-post journal entries for anything missing (already drafted for these four).,Accurate per-project P&L the partners can rely on; nothing slips through uncounted.
4,$317K unexplained placeholder,"A $317,137.06 entry sits in ""Ask My Accountant"" on the HLN Arixa construction loan (Journal Entry #71, dated 10/18/2024) with no explanation. It is the leftover after the loan's $16.1M face is reduced by the $1.45M interest reserve, $13.9M principal, and $432,862.94 of itemized closing costs — i.e. a plug, not a real expense.","The HLN loan balance is misstated by a six-figure amount and a large number is parked in a ""we'll figure it out later"" account — an audit and lender red flag that erodes trust in the books.","We traced the exact math and proved it's a balancing figure; once the Arixa 10/18/2024 settlement statement is in hand, it gets reclassified to the loan (contra-liability) or capitalized — never expensed, never left in ""Ask My Accountant.""",Clean and defensible loan balances and an audit trail; removes a major credibility risk with lenders and partners.
5,Possible double payment,"A SECOND $800 check to Ricks & Co. CPA on the Rock Creek account cleared 5/05/2026 (bank ID fitid 2daa1928), in addition to the legitimate $800 that cleared 4/08/2026. The second one is not in the workbook and looks like a possible duplicate CPA payment.",The company may have paid the same K-1 filing bill twice — $800 of real cash potentially out the door.,Our process scans the transaction data for duplicates automatically and flags them; this one is flagged ON HOLD pending the check image before anything is booked.,"Catches double-payments so we can stop-payment or recover the money — direct cash back to the company. (Action: pull the 5/05 check image to confirm.)"
6,Look-alike account numbers,"Two different entities share the same last-4 digits: Ventura Landing AND Dominus both end in 17470. (Confirmed which is which: the …17470 with routing [ROUTING-REDACTED] / UCCU and an $86,524.82 ledger tie is Ventura Landing.)","It's easy to post money to the wrong entity on last-4 alone, creating tangled intercompany ""Due to/from"" balances that take hours to unwind.",We built an entity/account map that flags this collision and forces a full account-number check before posting.,Money lands in the right entity the first time; far fewer intercompany cleanups.
7,Unresolved fraud account,"In December 2025 the HLN entity suffered a fraud event. The compromised HLN operating bank account ending …92090 was CLOSED on 12/05/2025 and replaced with a new account ending …48560. The old …92090 account still carries roughly $118,750 that was never cleared off the books — it needs a one-time write-off (loss) or receivable entry to record the fraud loss / expected recovery and zero out the dead account.","A ~$118,750 balance is sitting on a closed, compromised account — assets are overstated, the fraud loss isn't recorded, and any insurance/bank recovery claim isn't being tracked. The new …48560 account also needs to be tied into the books cleanly.",We flagged the exact account (…92090), the closure date, and the dollar amount, and scoped the correcting journal entry so the loss/receivable is recorded and tracked to recovery.,The loss is properly stated, the closed account is zeroed out, and any recovery from the bank/insurer is actively tracked instead of forgotten.
8,No single source of truth,"Key files were scattered loose on a desktop (the bank dataset and the variance booking sheet were sitting unfiled among ~50 unrelated files), and much of how the books work lived only in the outgoing accountant's (Adam's) head.","When Adam leaves, that knowledge walks out the door; time is wasted hunting for files and re-learning the system, and there's no record of why entries were made.","We built one organized project folder plus a written ""running memory"" that documents the system, every decision, and where each file lives.",Continuity if anyone leaves; no key-person risk; new staff get up to speed fast.
9,Incomplete bank migration,"The mid-2025 move from Central Bank to UCCU (Utah Community Credit Union) was never fully carried through in the books, so some accounts have a gap where the old bank stops and the new one hasn't been fully posted.",Reconciliation gaps and missing history make several accounts impossible to tie out cleanly; ~16 accounts still need fresh bank-data pulls (mostly UCCU).,Our catch-up plan pulls the missing UCCU and Central Bank history and closes the gaps in one pass.,Every account ties out cleanly with complete history.
10,Report clutter,"Duplicate and stale report versions are saved throughout the QB-Reports folder (the Arixa journal entry was saved 5 separate times; old ""as-of"" report copies linger; an empty QB_UPDATING-Reports.xlsx and even a stray Claude Setup.exe were mis-filed in there).",People open the wrong version and make decisions on outdated numbers; clutter hides the current file.,We clean up the clutter and keep one current and clearly-named version of each report.,Everyone works from the one correct number — fewer mistakes.
11,REPORTING TO PARTNERS,"Weekly partner updates are built by hand in Google Slides for each project — manual, slow, and only as fresh as whoever last updated them.","Hours spent every week rebuilding slides; numbers can be stale or inconsistent between projects, and partners can't dig in on their own.","Recommend a live, auto-updating dashboard (a connected Google Sheet or Looker Studio view per project) that the weekly slides pull from — or that replaces the manual deck entirely.","Partners see real-time, consistent per-project numbers and can self-serve; saves hours of weekly slide-building and removes copy-paste errors. (Keep a simple summary slide for the meeting, but feed it from live data.)"
